time,revenue,auctions,impressions,z_score_revenue_modified,z_score_auctions_modified,z_score_impressions_modified
00:00:00,0.0485513322,223.2,61.2,-1.0863599631061986,-1.2953685805447694,-1.301926341017688
00:01:00,0.0454471896,219.6,55.8,-1.1477672672862536,-1.3094851040844162,-1.3808465913770898
00:02:00,0.0374760232,177.4,53.6,-1.3054558476351832,-1.4749621300213875,-1.412999285967957
00:03:00,0.0513733414,210.8,61.0,-1.0305339268463585,-1.343992161625775,-1.3048493132532213
00:04:00,0.0407907417999999,175.8,50.8,-1.239882850653189,-1.4812361404834526,-1.4539208972654245
00:05:00,0.047724838,203.8,63.8,-1.10270997896644,-1.3714409573973108,-1.263927701955754
00:06:00,0.0520392232,232.8,75.2,-1.017361205257936,-1.257724517772378,-1.0973182845303504
00:07:00,0.046975849,193.0,63.4,-1.1175267581152186,-1.4137905280162513,-1.2697736464268206
00:08:00,0.0516448704,170.4,61.4,-1.0251624391135765,-1.502410925792923,-1.2990033687821545
00:09:00,0.0418871604,189.8,61.2,-1.218193089854546,-1.4263385489403817,-1.301926341017688
00:10:00,0.0460642824,189.0,59.6,-1.1355597078536033,-1.4294755541714144,-1.3253101189019552
00:11:00,0.04601048,195.8,59.0,-1.1366240469540096,-1.402811009707637,-1.3340790356085552
00:12:00,0.0411602463999999,187.6,59.0,-1.2325731731376874,-1.4349653133257214,-1.3340790356085552
00:13:00,0.04077625,191.4,55.2,-1.240169532834191,-1.4200645384783166,-1.3896155080836898
00:14:00,0.0375363,190.8,56.4,-1.3042634295444033,-1.422417292401591,-1.3720776746704892
00:15:00,0.031877272,180.4,50.4,-1.4162124275573968,-1.4631983604050152,-1.459766841736491
00:16:00,0.0345125956,179.4,54.0,-1.3640794753154226,-1.4671196169438059,-1.4071533414968902
00:17:00,0.026806014,154.0,49.0,-1.5165339406803886,-1.566719533029092,-1.480227647385225
00:18:00,0.0615420512,143.2,48.0,-0.8293727251002443,-1.6090691036480325,-1.494842508562892
00:19:00,0.0354448439999999,167.2,49.0,-1.3456373905123074,-1.5149589467170534,-1.480227647385225
00:20:00,0.0253361249999999,153.0,43.4,-1.5456118319260819,-1.5706407895678827,-1.56207086998016
00:21:00,0.0339746804,168.2,48.2,-1.374720713997394,-1.5110376901782627,-1.4919195363273585
00:22:00,0.0401268672,153.0,51.6,-1.2530158650641912,-1.5706407895678827,-1.442229008323291
00:23:00,0.0455395184,170.2,56.4,-1.1459407846027005,-1.503195177100681,-1.3720776746704892
00:24:00,0.0442974482,133.2,39.8,-1.1705118795596081,-1.6482816690359403,-1.6146843702197613
00:25:00,0.0323868264,168.4,46.4,-1.4061322327760473,-1.5102534388705047,-1.518226286447159
00:26:00,0.0332778725999999,188.0,55.2,-1.3885052252275292,-1.433396810710205,-1.3896155080836898
00:27:00,0.0195958362,155.8,39.0,-1.659168361327456,-1.5596612712592683,-1.6263762591618947
00:28:00,0.0355955888,142.6,45.0,-1.342655300776105,-1.6114218575713066,-1.5386870920958928
00:29:00,0.0264180199999999,163.0,42.8,-1.5242093823878806,-1.5314282241799748,-1.5708397866867603
00:30:00,0.0239425682,154.0,41.0,-1.5731796911828628,-1.566719533029092,-1.5971465368065607
00:31:00,0.0325595001999999,148.8,44.8,-1.4027163354005465,-1.5871100670308038,-1.5416100643314263
00:32:00,0.0320689918,130.2,40.2,-1.412419755121556,-1.6600454386523127,-1.6088384257486943
00:33:00,0.0291207304,151.0,44.4,-1.4707433593890002,-1.578483302645464,-1.547456008802493
00:34:00,0.038363037,164.6,51.0,-1.287908610524199,-1.5251542137179095,-1.450997925029891
00:35:00,0.029480981,154.0,43.2,-1.4636167479455544,-1.566719533029092,-1.5649938422156935
00:36:00,0.028976037,142.6,41.2,-1.4736057380782546,-1.6114218575713066,-1.5942235645710274
00:37:00,0.0415483329999999,160.8,56.8,-1.2248958995825345,-1.5400549885653145,-1.3662317301994227
00:38:00,0.0335960936,164.2,50.8,-1.382210058973412,-1.5267227163334258,-1.4539208972654245
00:39:00,0.0352586301999999,153.0,45.4,-1.3493211412069834,-1.5706407895678827,-1.532841147624826
00:40:00,0.039458464,147.0,45.0,-1.2662384659258017,-1.5941683288006274,-1.5386870920958928
00:41:00,0.0291171587999999,138.4,36.8,-1.4708140141094423,-1.6278911350342282,-1.658528953752762
00:42:00,0.041036015,142.4,47.8,-1.2350307649276098,-1.6122061088790651,-1.4977654807984255
00:43:00,0.0312334172,138.2,47.4,-1.4289494028340444,-1.6286753863419863,-1.503611425269492
00:44:00,0.0163919687999999,109.0,24.2,-1.7225484586156308,-1.7431760772746772,-1.8426762045913658
00:45:00,0.0267040141,149.2,36.6,-1.518551740663429,-1.5855415644152877,-1.6614519259882956
00:46:00,0.0299515144,154.4,39.4,-1.4543084811086264,-1.5651510304135756,-1.6205303146908279
00:47:00,0.0383516598,148.6,39.8,-1.2881336785288449,-1.587894318338562,-1.6146843702197613
00:48:00,0.0282991714,122.2,31.6,-1.4869957452861113,-1.6914154909626389,-1.7345262318766304
00:49:00,0.0273245852,133.2,37.8,-1.506275372205662,-1.6482816690359403,-1.6439140925750952
00:50:00,0.0225952939999999,113.8,31.0,-1.5998319708214808,-1.7243540458884814,-1.7432951485832304
00:51:00,0.0386408378,166.8,49.0,-1.282413051709645,-1.5165274493325698,-1.480227647385225
00:52:00,0.0267947492,136.8,40.8,-1.5167567851464026,-1.6341651454962933,-1.6000695090420942
00:53:00,0.0271867117999999,125.4,39.6,-1.509002835116723,-1.6788674700385084,-1.6176073424552946
00:54:00,0.0404874038,142.4,40.0,-1.245883595862305,-1.6122061088790651,-1.6117613979842278
00:55:00,0.03729746112,139.6,43.0,-1.3089882291570833,-1.623185627187679,-1.5679168144512268
00:56:00,0.0212630659999999,113.2,29.8,-1.6261866009319617,-1.726706799811756,-1.760832981996431
00:57:00,0.0360559256,153.4,43.8,-1.3335487468752394,-1.5690722869523663,-1.5562249255090934
00:58:00,0.0296222526,133.0,35.0,-1.4608220605773894,-1.6490659203436984,-1.6848357038725625
00:59:00,0.037238305,139.2,39.0,-1.3101584775390205,-1.6247541298031956,-1.6263762591618947
01:00:00,0.0361545875999999,123.0,34.2,-1.331596978472265,-1.6882784857316062,-1.6965275928146961
01:01:00,0.0265727318,113.2,33.4,-1.5211488159812827,-1.726706799811756,-1.7082194817568297
01:02:00,0.0420688098,116.0,38.8,-1.2145996338193998,-1.7157272815031417,-1.6292992313974282
01:03:00,0.0476160906,115.4,43.8,-1.1048612605056933,-1.7180800354264163,-1.5562249255090934
01:04:00,0.0414127098,118.4,41.0,-1.227578848199736,-1.706316265810044,-1.5971465368065607
01:05:00,0.037615933,135.6,43.4,-1.3026880999014385,-1.638870653342842,-1.56207086998016
01:06:00,0.0499011102,163.8,51.6,-1.0596581523641448,-1.5282912189489422,-1.442229008323291
01:07:00,0.0395178582,129.8,49.8,-1.2650635077566985,-1.6616139412678288,-1.4685357584430916
01:08:00,0.0354902562,113.8,40.8,-1.3447390294708743,-1.7243540458884814,-1.6000695090420942
01:09:00,0.0331096932,101.4,32.4,-1.391832212709552,-1.7729776269694872,-1.7228343429344966
01:10:00,0.0276307066,114.8,35.4,-1.5002195647418477,-1.7204327893496907,-1.6789897594014958
01:11:00,0.0446481636,137.2,48.2,-1.163573896991272,-1.632596642880777,-1.4919195363273585
01:12:00,0.0265707857999999,116.8,32.8,-1.5211873124775261,-1.712590276272109,-1.71698839846343
01:13:00,0.0318032050999999,117.2,35.0,-1.4176776465386318,-1.7110217736565927,-1.6848357038725625
01:14:00,0.0457452394,127.0,38.2,-1.1418711352176416,-1.6725934595764431,-1.6380681481040282
01:15:00,0.0363321395,114.8,38.0,-1.328084580707081,-1.7204327893496907,-1.6409911203395617
01:16:00,0.0200677259,94.8,25.8,-1.6498332636591544,-1.7988579201255064,-1.819292426707099
01:17:00,0.0299102224,107.8,33.2,-1.455125334820245,-1.7478815851212262,-1.7111424539923632
01:18:00,0.0350275606,95.4,33.0,-1.353892246031213,-1.796505166202232,-1.7140654262278965
01:19:00,0.0309339684199999,106.4,35.8,-1.434873210045676,-1.7533713442755334,-1.6731438149304292
01:20:00,0.040226821,134.8,42.4,-1.2510385417928465,-1.642007658573875,-1.5766857311578268
01:21:00,0.0272433919999999,126.4,38.4,-1.5078815663056877,-1.6749462134997175,-1.6351451758684947
01:22:00,0.024450974,105.0,33.0,-1.5631222184341869,-1.7588611034298403,-1.7140654262278965
01:23:00,0.0344060488,116.2,38.8,-1.36618722376648,-1.7149430301953836,-1.6292992313974282
