time,revenue,auctions,impressions,z_score_revenue_modified,z_score_auctions_modified,z_score_impressions_modified
02:55:00,0.027198296025,93.25,27.0,-1.6749917183941518,-1.7048786775161502,-1.8369569975916746
02:56:00,0.0187092144999999,77.0,24.25,-1.8869685098847695,-1.7841477738315243,-1.886495952723164
02:57:00,0.01356034675,64.75,17.5,-2.0155384219818835,-1.8439044772077293,-2.0080915698640927
02:58:00,0.025808334,105.0,29.25,-1.7096997948198047,-1.6475610232573412,-1.796425125211365
02:59:00,0.0274504169999999,123.0,36.75,-1.668696126204281,-1.5597552550310807,-1.6613188839436668
03:00:00,0.0217293315,94.0,23.0,-1.8115546138465544,-1.701220103840056,-1.9090136596011136
03:01:00,0.01753600175,92.25,23.0,-1.9162642439107025,-1.7097567757509424,-1.9090136596011136
03:02:00,0.0336785615,95.75,30.0,-1.5131761109750783,-1.6926834319291695,-1.7829145010845953
03:03:00,0.03371816125,93.0,27.5,-1.5121872845721147,-1.7060982020748483,-1.8279499148404947
03:04:00,0.03639465275,110.75,33.5,-1.4453538964192185,-1.619511958407286,-1.719864921826336
03:05:00,0.023522189,103.0,24.5,-1.7667860273592328,-1.6573172197269257,-1.8819924113475741
03:06:00,0.03481529475,121.75,34.0,-1.4847912890828536,-1.565852877824571,-1.710857839075156
03:07:00,0.031044306,110.5,28.25,-1.5789548441880927,-1.6207314829659838,-1.8144392907137248
03:08:00,0.032206039,100.75,33.25,-1.5499457655046642,-1.6682929407552083,-1.724368463201926
03:09:00,0.03921873025,101.25,35.25,-1.374835208901862,-1.6658538916378123,-1.6883401321972065
03:10:00,0.028715142,105.0,28.0,-1.6371152835856224,-1.6475610232573412,-1.8189428320893148
03:11:00,0.030431652,118.0,35.25,-1.594253133977328,-1.5841457462050421,-1.6883401321972065
03:12:00,0.0403058335,117.75,34.0,-1.347689673984406,-1.58536527076374,-1.710857839075156
03:13:00,0.0307330005,111.5,31.0,-1.5867283048232685,-1.6158533847311916,-1.7649003355822355
03:14:00,0.03327732825,140.0,39.75,-1.5231951144118903,-1.4768275850396124,-1.6072763874365874
03:15:00,0.021156213,106.75,27.5,-1.825865681588823,-1.6390243513464549,-1.8279499148404947
03:16:00,0.0442765755,123.5,41.75,-1.2485381760846341,-1.5573162059136847,-1.5712480564318678
03:17:00,0.0252540073749999,126.75,39.0,-1.723541619646118,-1.5414623866506099,-1.6207870115633574
03:18:00,0.04434339825,166.5,47.25,-1.2468695771788674,-1.347557981817618,-1.4721701461688892
03:19:00,0.03578776425,163.0,48.0,-1.4605082186675906,-1.3646313256393907,-1.4586595220421192
03:20:00,0.03083716025,153.75,47.25,-1.5841273815617305,-1.409753734311219,-1.4721701461688892
03:21:00,0.035968835,162.0,45.0,-1.4559867876382429,-1.369509423874183,-1.5127020185491986
03:22:00,0.0381498055,155.75,46.0,-1.401526817196896,-1.3999975378416345,-1.4946878530468388
03:23:00,0.04853291325,162.25,51.0,-1.142255203411052,-1.3682898993154848,-1.40461702553504
03:24:00,0.0450744364999999,150.25,46.0,-1.2286151709471056,-1.426827078132992,-1.4946878530468388
03:25:00,0.0459347875,143.75,53.75,-1.2071317579301994,-1.4585347166591416,-1.3550780704035505
03:26:00,0.03478381,128.5,40.25,-1.4855774797050347,-1.5329257147397233,-1.5982693046854075
03:27:00,0.040033435,142.25,43.75,-1.3544916065452852,-1.46585186401133,-1.5352197254271485
03:28:00,0.038026919,125.75,39.0,-1.4045953571691885,-1.546340484885402,-1.6207870115633574
03:29:00,0.0530329019999999,145.0,42.25,-1.0298881382391993,-1.4524370938656512,-1.5622409736806881
03:30:00,0.0383410752499999,144.75,41.25,-1.3967507118202673,-1.4536566184243493,-1.5802551391830477
03:31:00,0.0345583202499999,134.0,37.25,-1.491208076322381,-1.506096174448366,-1.6523118011924869
03:32:00,0.0419054559999999,161.5,48.0,-1.3077462661908077,-1.3719484729915792,-1.4586595220421192
03:33:00,0.0458958011249999,146.5,46.75,-1.2081052680396303,-1.445119946513463,-1.481177228920069
03:34:00,0.0376042175,147.5,45.25,-1.415150434001045,-1.4402418482786707,-1.5081984771736088
03:35:00,0.036910917,142.0,43.0,-1.4324625089406056,-1.467071388570028,-1.5487303495539182
03:36:00,0.05057100025,142.0,46.25,-1.0913631084575013,-1.467071388570028,-1.490184311671249
03:37:00,0.04337932125,148.25,48.75,-1.270943082493672,-1.4365832746025764,-1.4451488979153495
03:38:00,0.05078668925,164.75,53.25,-1.0859772416773115,-1.3560946537285044,-1.3640851531547304
03:39:00,0.045419823,158.75,49.75,-1.2199906899736832,-1.3853632431372578,-1.4271347324129897
03:40:00,0.061658677,152.75,52.5,-0.814498039412226,-1.4146318325460112,-1.3775957772815004
03:41:00,0.0396678552499999,146.75,46.5,-1.363620323499027,-1.4439004219547649,-1.485680770295659
03:42:00,0.0452086435,164.75,47.75,-1.2252639521878297,-1.3560946537285044,-1.4631630634177093
03:43:00,0.06272732825,169.5,53.0,-0.7878132605547822,-1.332923687113241,-1.3685886945303205
03:44:00,0.04315900775,167.75,49.0,-1.2764444254498604,-1.3414603590241276,-1.4406453565397597
03:45:00,0.0611188075,162.5,49.0,-0.8279788622900158,-1.367070374756787,-1.4406453565397597
03:46:00,0.05351939,193.0,60.75,-1.0177402792470327,-1.2182883785956233,-1.2289789118870322
03:47:00,0.04136289725,172.5,53.0,-1.3212942410431445,-1.3182893924088643,-1.3685886945303205
03:48:00,0.041114959,185.25,48.75,-1.3274853884090898,-1.2560936399152631,-1.4451488979153495
03:49:00,0.03596114625,171.0,46.75,-1.4561787797342987,-1.3256065397610528,-1.481177228920069
03:50:00,0.0423611465,174.25,52.0,-1.2963674368300215,-1.309752720497978,-1.3866028600326803
03:51:00,0.0497905782499999,198.0,52.25,-1.110850652673153,-1.193897887421662,-1.3820993186570902
03:52:00,0.04356541775,182.75,52.75,-1.2662961558666324,-1.2682888855022438,-1.3730922359059103
03:53:00,0.03868396275,163.0,46.5,-1.388188632179707,-1.3646313256393907,-1.485680770295659
03:54:00,0.0545340024999999,192.25,59.0,-0.9924048761503766,-1.2219469522717175,-1.2605037015161618
03:55:00,0.04440041275,153.0,51.5,-1.245445895389165,-1.4134123079873133,-1.3956099427838602
03:56:00,0.04601876425,201.75,54.75,-1.2050348147011367,-1.175605019041191,-1.337063904901191
03:57:00,0.0451107404999999,181.0,47.25,-1.2277086411398925,-1.2768255574131302,-1.4721701461688892
03:58:00,0.0411637307499999,190.25,58.5,-1.3262675323842754,-1.231703148741302,-1.2695107842673417
03:59:00,0.04182599875,167.5,50.75,-1.309730355148611,-1.3426798835828255,-1.40912056691063
04:00:00,0.05101087225,185.0,48.5,-1.0803792752887462,-1.2573131644739612,-1.4496524392909396
04:01:00,0.05650778525,191.0,55.25,-0.9431184918445616,-1.2280445750652078,-1.328056822150011
04:02:00,0.04652477625,147.25,45.25,-1.192399431250069,-1.4414613728373686,-1.5081984771736088
04:03:00,0.0508888604999999,189.5,52.5,-1.0834259722974873,-1.235361722417396,-1.3775957772815004
04:04:00,0.05601744775,193.75,48.25,-0.9553624748586758,-1.214629804919529,-1.4541559806665294
04:05:00,0.06252542175,200.75,59.75,-0.7928549711244189,-1.1804831172759833,-1.246993077389392
04:06:00,0.0590852925,232.25,62.75,-0.8787567920199391,-1.0268230228800275,-1.1929505808823127
04:07:00,0.06086135475,229.75,60.5,-0.8344075916813778,-1.039018268467008,-1.233482453262622
04:08:00,0.0625770085,245.75,75.5,-0.7915668230819923,-0.960968696710332,-0.9632699707272255
04:09:00,0.0562747735,199.75,58.5,-0.9489369167235255,-1.1853612155107756,-1.2695107842673417
04:10:00,0.053759335,244.0,64.75,-1.0117487275008954,-0.9695053686212185,-1.156922249877593
04:11:00,0.06182665725,244.25,78.0,-0.8103034849926545,-0.9682858440625204,-0.9182345569713262
04:12:00,0.0585768697499999,251.5,71.25,-0.8914523731553619,-0.9329196318602766,-1.0398301741122546
04:13:00,0.05502545275,224.25,57.5,-0.980133107188624,-1.0658478087583654,-1.2875249497697014
04:14:00,0.07169909725,246.5,74.0,-0.5637835111626693,-0.9573101230342379,-0.9902912189807652
04:15:00,0.0780276254999999,250.0,75.25,-0.4057568613605636,-0.940236779212465,-0.9677735121028155
04:16:00,0.0617326054999999,231.75,70.0,-0.812652006224355,-1.0292620719974235,-1.0623478809902043
04:17:00,0.06668051875,260.25,74.75,-0.6891000327605443,-0.8902362723058445,-0.9767805948539954
04:18:00,0.0713511975,251.75,79.75,-0.5724707492988804,-0.9317001073015786,-0.8867097673421965
04:19:00,0.055506634,244.5,68.25,-0.9681177605106519,-0.9670663195038224,-1.093872670619334
04:20:00,0.07313725625,268.5,80.75,-0.5278719311436102,-0.8499919618688083,-0.8686956018398367
04:21:00,0.07413440325,290.25,84.5,-0.5029726506876494,-0.743893325262077,-0.8011424812059876
04:22:00,0.08014331775,259.25,83.25,-0.3529269228547509,-0.8951143705406367,-0.8236601880839374
04:23:00,0.0815302887499999,291.5,97.75,-0.31829353388273135,-0.7377957024685866,-0.5624547882997206
04:24:00,0.0672836685,277.75,76.75,-0.6740390690488821,-0.8048695531969801,-0.9407522638492759
04:25:00,0.0813615209999999,302.5,92.25,-0.3225077525878688,-0.6841366218858719,-0.6615326985626994
04:26:00,0.0676806505,267.0,74.5,-0.6641262215409739,-0.8573091092209968,-0.9812841362295853
04:27:00,0.06858904175,245.75,72.0,-0.6414432184356232,-0.960968696710332,-1.0263195499854847
04:28:00,0.06324199725,254.0,69.5,-0.7749617073003584,-0.920724386273296,-1.0713549637413842
04:29:00,0.0915056935,295.25,81.5,-0.06920247656422296,-0.7195028340881157,-0.8551849777130669
04:30:00,0.086908653,314.5,86.5,-0.183992974531836,-0.6255994430683649,-0.765114150201268
04:31:00,0.0905884615,312.25,91.5,-0.09210623780622859,-0.6365751640966474,-0.6750433226894692
04:32:00,0.061636928,278.5,74.0,-0.8150411232811406,-0.8012109795208858,-0.9902912189807652
